,price,host_id,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,number_of_reviews,review_scores_rating,review_scores_location,reviews_per_month,amenities_length
5891,698,35350321,Central & Western,22.28533089746233,114.14022646128164,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,1,0.0,0.0,0.13,17
5892,714,30436418,Wan Chai,22.279511166083665,114.18132605982996,Apartment,Entire home/apt,4,1.0,0.0,2.0,Real Bed,42,89.0,10.0,4.53,14
5893,848,2033318,Sai Kung,22.383387490621914,114.26728160729442,Apartment,Entire home/apt,6,1.0,2.0,4.0,Real Bed,3,100.0,9.0,0.32,17
5894,196,2767794,Wan Chai,22.278575733721837,114.17677455551727,Apartment,Shared room,8,3.0,1.0,8.0,Real Bed,7,86.0,9.0,1.13,28
5895,691,7805046,Central & Western,22.28761293965264,114.13893814579131,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,3,100.0,10.0,0.32,13
5896,353,149898905,Wan Chai,22.27843890144445,114.18353842866352,Other,Private room,2,1.0,1.0,1.0,Real Bed,56,95.0,10.0,6.0,19
5897,549,8997696,Central & Western,22.28505329074998,114.14300169125444,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,0,0.0,0.0,0.0,7
5898,502,122131447,Yau Tsim Mong,22.317691649591602,114.17038822621734,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,1,60.0,10.0,0.77,25
5899,298,137202104,Yuen Long,22.457762782685148,114.00385174781229,Apartment,Private room,2,2.0,1.0,1.0,Real Bed,46,99.0,9.0,4.86,31
5900,2198,52722922,Central & Western,22.28512828290548,114.13946571540441,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,4,100.0,10.0,0.61,18
5901,1499,29376961,Eastern,22.289842321646944,114.20986156165579,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,2,100.0,10.0,0.22,17
5902,306,118440169,Yau Tsim Mong,22.309867645236526,114.17038624397905,Other,Private room,2,1.0,1.0,2.0,Real Bed,34,96.0,10.0,3.53,12
5903,502,24358640,Yau Tsim Mong,22.31799346657721,114.16901715227695,Condominium,Private room,4,1.0,1.0,2.0,Real Bed,24,91.0,10.0,3.69,15
5904,502,24358640,Yau Tsim Mong,22.31567350481417,114.17077824936894,Condominium,Private room,4,1.0,1.0,2.0,Real Bed,25,95.0,10.0,2.95,15
5905,235,151475926,Yau Tsim Mong,22.306213213152247,114.1702334567849,Apartment,Shared room,1,1.0,1.0,2.0,Real Bed,9,100.0,10.0,0.97,12
